2016-07-08 08:49:26, IIS重启
2016-07-08 09:12:25, 运行时间【2016/7/8 9:12:25】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:12:30, 运行时间【2016/7/8 9:12:30】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:12:35, 运行时间【2016/7/8 9:12:35】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:12:40, 运行时间【2016/7/8 9:12:40】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:12:45, 运行时间【2016/7/8 9:12:45】,耗时【7ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:12:50, 运行时间【2016/7/8 9:12:50】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:12:55, 运行时间【2016/7/8 9:12:55】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:13:00, 运行时间【2016/7/8 9:13:00】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:13:05, 运行时间【2016/7/8 9:13:05】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:13:10, 运行时间【2016/7/8 9:13:10】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:13:15, 运行时间【2016/7/8 9:13:15】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:13:20, 运行时间【2016/7/8 9:13:20】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:13:25, 运行时间【2016/7/8 9:13:25】,耗时【8ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:13:31, 运行时间【2016/7/8 9:13:31】,耗时【1783ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:13:42, IIS重启
2016-07-08 09:13:43, ShopQuartz job【fistJob】重启
2016-07-08 09:13:45, 运行时间【2016/7/8 9:13:45】,耗时【22ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:13:50, 运行时间【2016/7/8 9:13:50】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:13:54, ShopQuartz job【fistJob】停止
2016-07-08 09:14:07, ShopQuartz job【fistJob】启动
2016-07-08 09:14:07, 运行时间【2016/7/8 9:14:07】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:14:10, 运行时间【2016/7/8 9:14:10】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:14:15, 运行时间【2016/7/8 9:14:15】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:14:20, 运行时间【2016/7/8 9:14:20】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:14:22, ShopQuartz job【fistJob】移除
2016-07-08 09:14:24, 运行时间【2016/7/8 9:14:24】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:14:30, 运行时间【2016/7/8 9:14:30】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:14:36, 运行时间【2016/7/8 9:14:36】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:14:42, 运行时间【2016/7/8 9:14:42】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:14:48, 运行时间【2016/7/8 9:14:48】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:14:54, 运行时间【2016/7/8 9:14:54】,耗时【8ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:15:00, 运行时间【2016/7/8 9:15:00】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:15:06, 运行时间【2016/7/8 9:15:06】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:15:12, 运行时间【2016/7/8 9:15:12】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:15:18, 运行时间【2016/7/8 9:15:18】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:15:24, 运行时间【2016/7/8 9:15:24】,耗时【17ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:15:30, 运行时间【2016/7/8 9:15:30】,耗时【10ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:15:36, 运行时间【2016/7/8 9:15:36】,耗时【489ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:15:46, 运行时间【2016/7/8 9:15:46】,耗时【2924ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:15:57, 运行时间【2016/7/8 9:15:57】,耗时【1439ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:15:57, 运行时间【2016/7/8 9:15:57】,耗时【1439ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:17:20, 运行时间【2016/7/8 9:17:20】,耗时【3055ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:17:17, 运行时间【2016/7/8 9:17:17】,耗时【651ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:17:25, 运行时间【2016/7/8 9:17:25】,耗时【553ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:17:26, 运行时间【2016/7/8 9:17:25】,耗时【4624ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:17:26, ShopQuartz job【fistJob】移除
2016-07-08 09:17:28, 运行时间【2016/7/8 9:17:28】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:17:35, 运行时间【2016/7/8 9:17:35】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:17:42, 运行时间【2016/7/8 9:17:42】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:17:49, 运行时间【2016/7/8 9:17:49】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:17:56, 运行时间【2016/7/8 9:17:56】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:18:00, 运行时间【2016/7/8 9:18:00】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:18:07, 运行时间【2016/7/8 9:18:07】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:18:14, 运行时间【2016/7/8 9:18:14】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:18:21, 运行时间【2016/7/8 9:18:21】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:18:28, 运行时间【2016/7/8 9:18:28】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:18:35, 运行时间【2016/7/8 9:18:35】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:18:42, 运行时间【2016/7/8 9:18:42】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:18:49, 运行时间【2016/7/8 9:18:49】,耗时【7ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:18:56, 运行时间【2016/7/8 9:18:56】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:19:00, 运行时间【2016/7/8 9:19:00】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:19:34, IIS重启
2016-07-08 09:19:35, ShopQuartz job【fistJob】重启
2016-07-08 09:19:35, 运行时间【2016/7/8 9:19:35】,耗时【181ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:19:40, 运行时间【2016/7/8 9:19:40】,耗时【8ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:19:45, 运行时间【2016/7/8 9:19:45】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:19:51, 运行时间【2016/7/8 9:19:51】,耗时【1016ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:19:56, 运行时间【2016/7/8 9:19:56】,耗时【1330ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:03, 运行时间【2016/7/8 9:20:03】,耗时【1200ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:05, 运行时间【2016/7/8 9:20:05】,耗时【37ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:19, 运行时间【2016/7/8 9:20:19】,耗时【5274ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:35, 运行时间【2016/7/8 9:20:35】,耗时【1946ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:35, 运行时间【2016/7/8 9:20:35】,耗时【17582ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:35, 运行时间【2016/7/8 9:20:35】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:46, 运行时间【2016/7/8 9:20:46】,耗时【3014ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:46, 运行时间【2016/7/8 9:20:46】,耗时【1153ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:46, ShopQuartz job【firstJob】移除
2016-07-08 09:20:48, 运行时间【2016/7/8 9:20:48】,耗时【2ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:51, 运行时间【2016/7/8 9:20:51】,耗时【434ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:51, 运行时间【2016/7/8 9:20:51】,耗时【3ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:55, 运行时间【2016/7/8 9:20:55】,耗时【21ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:55, 运行时间【2016/7/8 9:20:55】,耗时【26ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:20:57, 运行时间【2016/7/8 9:20:57】,耗时【2ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:00, 运行时间【2016/7/8 9:21:00】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:00, 运行时间【2016/7/8 9:21:00】,耗时【3ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:03, 运行时间【2016/7/8 9:21:03】,耗时【8ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:05, 运行时间【2016/7/8 9:21:05】,耗时【10ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:06, 运行时间【2016/7/8 9:21:06】,耗时【5ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:09, 运行时间【2016/7/8 9:21:09】,耗时【8ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:10, 运行时间【2016/7/8 9:21:10】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:12, 运行时间【2016/7/8 9:21:12】,耗时【2ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:15, 运行时间【2016/7/8 9:21:15】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:15, 运行时间【2016/7/8 9:21:15】,耗时【5ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:18, 运行时间【2016/7/8 9:21:18】,耗时【2ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:20, 运行时间【2016/7/8 9:21:20】,耗时【8ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:21, 运行时间【2016/7/8 9:21:21】,耗时【2ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:24, 运行时间【2016/7/8 9:21:24】,耗时【9ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:25, 运行时间【2016/7/8 9:21:25】,耗时【7ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:27, 运行时间【2016/7/8 9:21:27】,耗时【8ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:30, 运行时间【2016/7/8 9:21:30】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:30, 运行时间【2016/7/8 9:21:30】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:33, 运行时间【2016/7/8 9:21:33】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:35, 运行时间【2016/7/8 9:21:35】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:36, 运行时间【2016/7/8 9:21:36】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:39, 运行时间【2016/7/8 9:21:39】,耗时【5ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:39, ShopQuartz job【firstJob】移除
2016-07-08 09:21:39, 运行时间【2016/7/8 9:21:39】,耗时【5ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:40, 运行时间【2016/7/8 9:21:40】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:42, 运行时间【2016/7/8 9:21:42】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:45, 运行时间【2016/7/8 9:21:45】,耗时【7ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:45, 运行时间【2016/7/8 9:21:45】,耗时【6ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:48, 运行时间【2016/7/8 9:21:48】,耗时【6ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:50, 运行时间【2016/7/8 9:21:50】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:51, 运行时间【2016/7/8 9:21:51】,耗时【8ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:54, 运行时间【2016/7/8 9:21:54】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:55, 运行时间【2016/7/8 9:21:55】,耗时【7ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:21:57, 运行时间【2016/7/8 9:21:57】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:00, 运行时间【2016/7/8 9:22:00】,耗时【7ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:00, 运行时间【2016/7/8 9:22:00】,耗时【7ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:03, 运行时间【2016/7/8 9:22:03】,耗时【10ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:05, 运行时间【2016/7/8 9:22:05】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:06, 运行时间【2016/7/8 9:22:06】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:09, 运行时间【2016/7/8 9:22:09】,耗时【7ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:10, 运行时间【2016/7/8 9:22:10】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:12, 运行时间【2016/7/8 9:22:12】,耗时【3ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:15, 运行时间【2016/7/8 9:22:15】,耗时【7ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:15, 运行时间【2016/7/8 9:22:15】,耗时【5ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:18, 运行时间【2016/7/8 9:22:18】,耗时【5ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:20, 运行时间【2016/7/8 9:22:20】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:21, 运行时间【2016/7/8 9:22:21】,耗时【7ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:24, 运行时间【2016/7/8 9:22:24】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:25, 运行时间【2016/7/8 9:22:25】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:27, 运行时间【2016/7/8 9:22:27】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:30, 运行时间【2016/7/8 9:22:30】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:30, 运行时间【2016/7/8 9:22:30】,耗时【2ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:33, 运行时间【2016/7/8 9:22:33】,耗时【5ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:35, 运行时间【2016/7/8 9:22:35】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:36, 运行时间【2016/7/8 9:22:36】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:39, 运行时间【2016/7/8 9:22:39】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:40, 运行时间【2016/7/8 9:22:40】,耗时【8ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:42, 运行时间【2016/7/8 9:22:42】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:45, 运行时间【2016/7/8 9:22:45】,耗时【7ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:45, 运行时间【2016/7/8 9:22:45】,耗时【7ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:48, 运行时间【2016/7/8 9:22:48】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:50, 运行时间【2016/7/8 9:22:50】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:51, 运行时间【2016/7/8 9:22:51】,耗时【5ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:54, 运行时间【2016/7/8 9:22:54】,耗时【8ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:55, 运行时间【2016/7/8 9:22:55】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:22:57, 运行时间【2016/7/8 9:22:57】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:00, 运行时间【2016/7/8 9:23:00】,耗时【7ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:00, 运行时间【2016/7/8 9:23:00】,耗时【7ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:03, 运行时间【2016/7/8 9:23:03】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:05, 运行时间【2016/7/8 9:23:05】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:06, 运行时间【2016/7/8 9:23:06】,耗时【5ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:09, 运行时间【2016/7/8 9:23:09】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:10, 运行时间【2016/7/8 9:23:10】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:12, 运行时间【2016/7/8 9:23:12】,耗时【2ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:15, 运行时间【2016/7/8 9:23:15】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:15, 运行时间【2016/7/8 9:23:15】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:18, 运行时间【2016/7/8 9:23:18】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:20, 运行时间【2016/7/8 9:23:20】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:21, 运行时间【2016/7/8 9:23:21】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:24, 运行时间【2016/7/8 9:23:24】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:25, 运行时间【2016/7/8 9:23:25】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:27, 运行时间【2016/7/8 9:23:27】,耗时【2ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:30, 运行时间【2016/7/8 9:23:30】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:30, 运行时间【2016/7/8 9:23:30】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:33, 运行时间【2016/7/8 9:23:33】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:35, 运行时间【2016/7/8 9:23:35】,耗时【8ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:36, 运行时间【2016/7/8 9:23:36】,耗时【1ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:39, 运行时间【2016/7/8 9:23:39】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:40, 运行时间【2016/7/8 9:23:40】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:42, 运行时间【2016/7/8 9:23:42】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:45, 运行时间【2016/7/8 9:23:45】,耗时【4ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:45, 运行时间【2016/7/8 9:23:45】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 09:23:48, 运行时间【2016/7/8 9:23:48】,耗时【2ms】,job名称【firstJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
